Codigo;Preco Venda;Custo;Marcacao;Diferenca
1030070077;257,48;183,92;1;73,56
1030070078;276,34;197,39;1;78,95
1030070079;268,35;191,68;1;76,67
1030070080;261,52;186,8;1;74,72
1030070081;422,24;301,6;1;120,64
1030070082;280,78;200,56;1;80,22
1030070083;395,79;282,71;1;113,08
1030070084;283,71;202,65;0;81,06
1030070085;412,88;294,92;1;117,96
1030070086;260,79;186,28;1;74,51
1030070088;432,64;309,03;1;123,61
1030070089;609,04;435,03;1;174,01
1030070091;277,53;198,24;1,55;79,29
1030070092;411,62;294,02;1,55;117,6
1030070093;556,93;397,81;1;159,12
1030070094;371,36;265,26;1;106,1
1030070097;439,19;313,71;0;125,48
1030070104;404,36;288,83;0;115,53
1030070106;258,95;184,97;0;73,98
1030070107;291,1;207,93;0;83,17
1030070110;406,09;290,07;0;116,02
1030070114;636,88;454,92;0;181,96
1030075077;269,16;192,26;1;76,9
1030075079;269,16;192,26;1;76,9
1030075080;261,53;186,81;1;74,72
1030075101;280,28;200,2;0;80,08
1030075112;238,99;170,71;1;68,28
1030075113;258,8;184,86;1;73,94
1030717040;5,22;4,54;1;0,68
1030717041;9;7,83;0;1,17
1030721301;23,02;20,02;1,15;3
1030721347;14,82;14,82;1;0
1030737037;206,73;179,77;0;26,96
1031035018;251,15;139,53;1;111,62
1031035101;251,15;139,53;1;111,62
1031035103;251,15;139,53;1;111,62
1031035141;263,86;146,59;1;117,27
1031035159;263,86;146,59;1;117,27
1031035176;271,18;150,66;1;120,52
1031035199;231,78;128,77;1;103,01
1031035903;318,42;176,9;1;141,52
1031035919;299,28;166,27;1,8;133,01
1031035966;251,15;139,53;1;111,62
1031035981;287,67;159,82;1;127,85
1031035991;263,86;146,59;1;117,27
1031040018;286,07;158,93;1,8;127,14
1031040103;286,07;158,93;1,8;127,14
1031040141;300,88;167,16;0;133,72
1031040199;263,48;146,38;0;117,1
1031040903;370,83;206,02;0;164,81
1031040904;362,57;201,43;0;161,14
1031040966;286;158,89;1,8;127,11
1031040981;326,64;181,47;0;145,17
1031060106;4,59;3,28;0;1,31
1031060163;4,59;3,28;0;1,31
1031060239;4,59;3,28;0;1,31
1031060240;4,59;3,28;0;1,31
1031060253;4,59;3,28;0;1,31
1031070077;331,23;184,02;1,8;147,21
1031070078;355,51;197,51;1,8;158
1031070079;345,2;191,78;1,8;153,42
1031070080;336,42;186,9;1,8;149,52
1031070081;543,11;301,73;1,8;241,38
1031070082;361,2;200,67;1,8;160,53
1031070083;509,11;282,84;1,8;226,27
1031070084;364,98;202,77;1,8;162,21
1031070085;531,1;295,06;1,8;236,04
1031070086;335,53;186,41;1,8;149,12
1031070088;556,47;309,15;1,8;247,32
1031070089;783,27;435,15;1,8;348,12
1031070091;356,97;198,32;1,8;158,65
1031070092;529,48;294,16;1,8;235,32
1031070093;716,31;397,95;1,8;318,36
1031070094;477,61;265,34;1,8;212,27
1031070095;347;192,78;0;154,22
1031070096;513;285;1;228
1031070098;365,36;202,98;0;162,38
1031070099;454,98;252,77;0;202,21
1031070100;604,02;335,57;0;268,45
1031070103;521,96;289,98;0;231,98
1031075077;346,26;192,37;1,8;153,89
1031075078;342,37;190,21;0;152,16
1031075079;346,26;192,37;1,8;153,89
1031075080;336,42;186,9;1,8;149,52
1031075081;482,68;268,16;1,8;214,52
1031075083;493,86;274,37;1,8;219,49
1031075085;493,5;274,17;0;219,33
1031075086;335,07;186,15;0;148,92
1031075098;342,77;190,43;0;152,34
1031075102;510,04;283,36;0;226,68
1031080166;564,85;313,81;0;251,04
1031080199;325,65;180,92;1;144,73
1031085166;542,25;301,25;0;241
1031300005;5,71;4,08;0;1,63
1031300023;5,71;4,08;0;1,63
1031300033;5,71;4,08;0;1,63
1031300036;5,71;4,08;0;1,63
1031300052;5,71;4,08;0;1,63
1031300100;6,32;4,52;0;1,8
1031300106;5,71;4,08;0;1,63
1031300137;5,71;4,08;0;1,63
1031300163;5,71;4,08;0;1,63
1031300166;5,71;4,08;0;1,63
1031300168;5,71;4,08;0;1,63
1031300169;5,71;4,08;0;1,63
1031300172;5,71;4,08;0;1,63
1031300186;5,71;4,08;0;1,63
1031300187;5,71;4,08;0;1,63
1031300188;5,71;4,08;0;1,63
1031300189;5,71;4,08;0;1,63
1031300193;5,71;4,08;0;1,63
1031300199;5,71;4,08;0;1,63
1031300201;5,71;4,08;0;1,63
1031300202;5,71;4,08;0;1,63
1031300203;5,71;4,08;0;1,63
1031300204;5,71;4,08;0;1,63
1031300208;5,71;4,08;0;1,63
1031300209;5,71;4,08;0;1,63
1031300210;6,65;4,75;0;1,9
1031300211;6,65;4,75;0;1,9
1031300212;6,84;4,75;1,44;2,09
1031300215;5,71;4,08;0;1,63
1031300216;5,71;4,08;0;1,63
1031300226;5,71;4,08;1,61;1,63
1031300231;5,71;4,08;0;1,63
1031300232;5,71;4,08;0;1,63
1031300236;5,71;4,08;1,61;1,63
1031300237;5,71;4,08;1,61;1,63
1031300238;5,71;4,08;1,61;1,63
1031300239;6,65;4,75;0;1,9
1031300240;6,65;4,75;0;1,9
1031300244;6,65;4,75;1,61;1,9
1031300245;5,71;4,08;1,61;1,63
1031300246;6,32;4,52;0;1,8
1031300247;5,71;4,08;1,61;1,63
1031300248;5,71;4,08;1,61;1,63
1031300249;5,71;4,08;1,61;1,63
1031300250;6,65;4,75;1,61;1,9
1031300251;5,71;4,08;1,61;1,63
1031300252;6,65;4,75;1,61;1,9
1031300256;5,71;4,08;1,61;1,63
1031300258;5,71;4,08;1,61;1,63
1031300259;5,71;4,08;1,61;1,63
1031300261;5,71;4,08;1,61;1,63
1031300262;5,71;4,08;1,61;1,63
1031300263;5,71;4,08;1,61;1,63
1031300264;5,71;4,08;1,61;1,63
1031300265;5,71;4,08;1,61;1,63
1031300273;5,87;4,08;0;1,79
1031300275;5,87;4,08;1,61;1,79
1031300280;5,71;4,08;1,61;1,63
1031300288;5,87;4,08;1,61;1,79
1031300289;5,87;4,08;1,61;1,79
1031300290;5,87;4,08;1,61;1,79
1031300291;5,87;4,08;1,61;1,79
1031300292;5,87;4,08;1,61;1,79
1031300293;5,87;4,08;0;1,79
1031300294;5,87;4,08;1,61;1,79
1031300295;5,87;4,08;1,61;1,79
1031300296;5,87;4,08;1,61;1,79
1031300297;5,87;4,08;1,61;1,79
1031300298;5,87;4,08;1,61;1,79
1031300299;5,87;4,08;1,61;1,79
1031300300;5,71;4,08;1,61;1,63
1031300301;5,71;4,08;1,61;1,63
1031300302;5,71;4,08;1,61;1,63
1031300304;5,71;4,08;1,61;1,63
1031300305;5,71;4,08;1,61;1,63
1031300306;5,71;4,08;1,61;1,63
1031300307;5,71;4,08;1,61;1,63
1031300308;5,71;4,08;1,61;1,63
1031300309;5,71;4,08;1,61;1,63
1031300313;5,71;4,08;1,61;1,63
1031300314;5,71;4,08;1,61;1,63
1031300317;6,32;4,52;1,61;1,8
1031300318;5,71;4,08;0;1,63
1031300319;5,71;4,08;1,61;1,63
1031300320;5,71;4,08;1,61;1,63
1031300321;5,71;4,08;1,61;1,63
1031300322;5,71;4,08;1,61;1,63
1031300323;5,71;4,08;1,61;1,63
1031300324;5,71;4,08;1,61;1,63
1031300325;5,71;4,08;1,61;1,63
1031300326;5,87;4,08;0;1,79
1031300327;5,87;4,08;1,53;1,79
1031300328;5,87;4,08;1,53;1,79
1031300329;5,87;4,08;0;1,79
1031300330;5,87;4,08;0;1,79
1031300331;5,87;4,08;0;1,79
1031300332;5,87;4,08;0;1,79
1031300348;5,71;4,08;0;1,63
1031300350;5,71;4,08;0;1,63
1031300352;5,71;4,08;0;1,63
1031300353;5,71;4,08;0;1,63
1031300354;5,87;4,08;0;1,79
1031300355;5,87;4,08;0;1,79
1031300358;5,87;4,08;1,61;1,79
1031300359;5,87;4,08;1,61;1,79
1031300361;6,65;4,75;0;1,9
1031300362;5,71;4,08;0;1,63
1031300363;5,71;4,08;0;1,63
1031300364;5,87;4,08;0;1,79
1031300365;5,87;4,08;0;1,79
1031300368;5,87;4,08;0;1,79
1031300370;5,87;4,08;0;1,79
1031300371;5,87;4,08;0;1,79
1031300374;5,71;4,08;0;1,63
1031300375;5,71;4,08;0;1,63
1031300376;5,71;4,08;0;1,63
1031300377;5,71;4,08;0;1,63
1031300378;5,71;4,08;0;1,63
1031300379;5,71;4,08;0;1,63
1031300380;5,71;4,08;0;1,63
1031300381;5,71;4,08;0;1,63
1031300382;5,71;4,08;0;1,63
1031300383;5,71;4,08;0;1,63
1031300384;5,71;4,08;0;1,63
1031300385;5,71;4,08;0;1,63
1031300386;5,71;4,08;0;1,63
1031300389;5,87;4,08;0;1,79
1031300390;5,87;4,08;0;1,79
1031300391;5,87;4,08;0;1,79
1031300392;5,87;4,08;0;1,79
1031300393;5,87;4,08;0;1,79
1031300394;5,87;4,08;0;1,79
1031300399;5,71;4,08;0;1,63
1031310124;5,85;4,18;0;1,67
1031310137;5,85;4,18;1,61;1,67
1031310198;5,85;4,18;0;1,67
1031310203;5,85;4,18;1,35;1,67
1031310204;5,85;4,18;1,35;1,67
1031310215;5,85;4,18;1,61;1,67
1031310221;5,85;4,18;0;1,67
1031310222;5,85;4,18;0;1,67
1031310223;5,85;4,18;0;1,67
1031310224;5,85;4,18;0;1,67
1031310241;5,85;4,18;0;1,67
1031310242;5,85;4,18;0;1,67
1031310243;5,85;4,18;0;1,67
1031310244;5,85;4,18;0;1,67
1031310252;6,77;4,84;1,61;1,93
1031310263;5,85;4,18;1,61;1,67
1031310264;5,85;4,18;1,61;1,67
1031310265;6,46;4,62;1,61;1,84
1031310291;6,01;4,18;0;1,83
1031310292;6,01;4,18;0;1,83
1031310295;6,01;4,18;0;1,83
1031310298;6,01;4,18;0;1,83
1031310300;5,85;4,18;1,61;1,67
1031310302;5,85;4,18;0;1,67
1031310305;5,85;4,18;0;1,67
1031310315;5,85;4,18;0;1,67
1031310316;5,85;4,18;0;1,67
1031310318;5,85;4,18;0;1,67
1031310319;5,85;4,18;0;1,67
1031310320;5,85;4,18;0;1,67
1031310322;5,85;4,18;0;1,67
1031310323;5,85;4,18;0;1,67
1031310325;5,85;4,18;0;1,67
1031310328;6,01;4,18;0;1,83
1031310332;6,01;4,18;0;1,83
1031310333;6,37;4,43;0;1,94
1031310342;6,37;4,43;1,44;1,94
1031310343;6,37;4,43;0;1,94
1031310344;6,37;4,43;0;1,94
1031310348;5,85;4,18;0;1,67
1031310352;5,85;4,18;0;1,67
1031310353;5,85;4,18;0;1,67
1031310356;6,37;4,43;0;1,94
1031310357;6,37;4,43;0;1,94
1031310363;5,85;4,18;0;1,67
1031310364;6,01;4,18;0;1,83
1031310365;6,01;4,18;0;1,83
1031310366;5,85;4,18;0;1,67
1031310369;6,01;4,18;0;1,83
1031310371;6,01;4,18;0;1,83
1031310372;6,01;4,18;0;1,83
1031310373;6,01;4,18;0;1,83
1031310375;5,85;4,18;0;1,67
1031310379;5,85;4,18;0;1,67
1031310381;5,85;4,18;0;1,67
1031310383;5,85;4,18;0;1,67
1031310386;5,85;4,18;0;1,67
1031310387;6,5;4,52;0;1,98
1031310388;6,01;4,18;0;1,83
1031320398;11,03;7,88;0;3,15
1031400068;5,89;4,21;0;1,68
1031410066;5,89;4,21;1;1,68
1031410069;5,89;4,21;0;1,68
1031600032;6,04;4,32;0;1,72
1031600035;6,04;4,32;1,4;1,72
1031600036;6,04;4,32;0;1,72
1031600132;5,9;4,22;0;1,68
1031600150;6,04;4,32;0;1,72
1031600389;6,22;4,32;0;1,9
1031600395;6,22;4,32;0;1,9
1031600396;6,22;4,32;0;1,9
1031600397;6,22;4,32;0;1,9
1031610037;6,13;4,38;0;1,75
1031750001;7,05;5,04;0;2,01
1031750002;5,83;4,17;1,6;1,66
1031750003;6,45;4,61;0;1,84
1031750004;7,46;5,33;0;2,13
1031750005;7,46;5,33;1,6;2,13
1031750008;7,14;5,1;1,6;2,04
1031750009;7,28;5,2;1,6;2,08
1031750010;5,93;4,24;1,6;1,69
1031750011;5,82;4,16;1,6;1,66
1031750012;5,93;4,24;1,6;1,69
1031750013;7,47;5,34;1,6;2,13
1031750020;8,48;6,06;1,6;2,42
1031750021;7,39;5,28;1,6;2,11
1031750022;7,47;5,34;1,6;2,13
1031750023;7,25;5,04;1,44;2,21
1032000006;6,48;4,63;0;1,85
1032000017;7,81;5,58;1,57;2,23
1032000019;8,03;5,58;1,44;2,45
1032000020;6,98;4,85;0;2,13
1032100205;8,28;5,92;0;2,36
1032100206;11,63;6,65;0;4,98
1032100207;8,52;5,92;1,44;2,6
1032600142;14;8;1,54;6
1032600148;14,08;8,05;1,54;6,03
1032600152;15,4;8,42;0;6,98
1032600153;15,64;8,55;0;7,09
1032600156;16,25;9,29;1,54;6,96
1032600160;15,13;8,65;1,54;6,48
1032600162;14,8;8,46;1,54;6,34
1032600163;15,13;8,65;1,54;6,48
1032600164;19,19;10,97;1,54;8,22
1032600166;15,26;8,72;1,54;6,54
1032600167;15,26;8,72;1,54;6,54
1032600173;14,54;8,31;1,54;6,23
1032600174;14,96;8,55;1,54;6,41
1032600175;15,13;8,65;1,54;6,48
1032600179;16,19;8,85;2,02;7,34
1032600180;15,6;8,53;0;7,07
1032600181;15,6;8,53;0;7,07
1032600182;16,03;8,76;0;7,27
1032600183;16,03;8,76;0;7,27
1032600184;16,03;8,76;0;7,27
1032600189;20,49;11,2;0;9,29
1032600190;15,92;8,7;0;7,22
1032600194;15,92;9,1;0;6,82
1032600196;16,52;9,03;0;7,49
1032600197;15,9;8,69;0;7,21
1032600198;15,29;8,36;1,83;6,93
1032600199;15,29;8,36;1,83;6,93
1032600200;14,74;8,06;0;6,68
1032600201;15,35;8,39;0;6,96
1032600202;15,31;8,37;0;6,94
1032600203;21,43;12,25;1,65;9,18
1032600204;15,39;8,41;0;6,98
1032600205;15,39;8,41;0;6,98
1032600206;15,37;8,4;0;6,97
1032600208;15,77;8,62;0;7,15
1032600209;15,42;8,43;0;6,99
1032600210;15,57;8,51;0;7,06
1032600211;15,46;8,45;0;7,01
1032600213;22,69;12,97;0;9,72
1032600214;17,9;10,23;0;7,67
1032600215;15,27;8,73;0;6,54
1032600216;38,78;22,16;0;16,62
1032600218;15,44;8,44;0;7
1032600219;16,21;8,86;0;7,35
1032600220;16,01;8,75;0;7,26
1032600221;13,05;7,46;0;5,59
1032600222;12,68;7,25;0;5,43
1032600225;12,93;7,39;0;5,54
1032600227;13,17;7,53;0;5,64
1032600232;15,79;8,63;0;7,16
1032600233;15,79;8,63;0;7,16
1032600239;15,99;8,74;0;7,25
1032600241;17,05;9,32;0;7,73
1032600242;15,51;8,48;0;7,03
1032600243;15,73;8,6;0;7,13
1032600244;15,95;8,72;0;7,23
1032600245;16,3;8,91;0;7,39
1032600246;15,51;8,48;0;7,03
1032600247;15,51;8,48;0;7,03
1032600248;16,3;8,91;0;7,39
1032600249;15,35;8,39;0;6,96
1032600251;11,79;6,74;0;5,05
1032600252;14,38;8,22;0;6,16
1032600255;18,84;10,77;0;8,07
1032700001;13,98;7,64;0;6,34
1032700002;14,69;8,03;0;6,66
1032900001;11,74;6,71;0;5,03
1033000013;21,14;12,08;0;9,06
1033000044;17,64;10,08;0;7,56
1033000057;18,13;10,36;1;7,77
1033000058;18,13;10,36;1;7,77
1033000059;13,07;7,47;2,04;5,6
1033500001;17,39;9,94;0;7,45
1033500002;15,71;8,98;0;6,73
1033500003;18,02;10,3;0;7,72
1033600001;15,31;8,75;0;6,56
1033700001;16,01;9,15;0;6,86
1033900013;23,04;13,17;0;9,87
1035600001;22,61;12,36;2,02;10,25
1035600003;22,91;12,52;0;10,39
1035600004;24,28;13,49;0;10,79
1035600005;22,87;12,71;0;10,16
1035600009;24,5;13,39;0;11,11
1035600010;22,52;12,31;0;10,21
1035600015;23,09;12,83;0;10,26
1036310013;30,36;17,35;0;13,01
1036310014;30,36;17,35;1;13,01
1036400002;29,06;16,61;0;12,45
1037800002;27,33;15,62;0;11,71
1040110042;24,22;17,3;0;6,92
1040110043;10,09;7,21;0;2,88
1040110170;40,36;28,83;0;11,53
1040110171;74,92;53,52;0;21,4
1040110172;55,23;39,45;0;15,78
1040110173;97,58;69,7;0;27,88
1040110174;112,56;80,4;0;32,16
1040110175;119,57;85,41;0;34,16
1040110176;46,34;33,1;0;13,24
1040110177;68,54;48,96;0;19,58
1040115485;101,24;72,32;0;28,92
1040115500;72,01;51,44;0;20,57
1040115503;20,8;14,35;0;6,45
1040115504;22,02;15,62;0;6,4
1040115523;19,67;14,05;0;5,62
1040115577;57,05;40,75;0;16,3
1040115578;96,44;68,89;0;27,55
1040115579;115,22;82,3;0;32,92
1040115580;137,18;97,99;0;39,19
1040115581;148,27;105,91;0;42,36
1040115582;85,87;61,34;0;24,53
1040115583;48,27;34,48;0;13,79
1040115584;86,91;62,08;0;24,83
1040119606;19,67;14,05;0;5,62
1040119626;102,35;73,11;0;29,24
1040119627;125,51;89,65;0;35,86
1040119628;150,5;107,5;0;43
1040119638;57,96;41,4;0;16,56
1040119639;74,48;53,2;0;21,28
1040119640;167,39;119,57;0;47,82
1040119641;95,44;59,28;0;36,16
1040119642;178,93;111,14;0;67,79
1040119643;208,83;129,71;0;79,12
1040119644;233,86;145,26;0;88,6
1040119645;289,63;179,9;0;109,73
1040119646;108,49;67,39;0;41,1
1040119647;194,76;120,97;0;73,79
1040119648;232,96;144,7;0;88,26
1040119649;258,38;160,49;0;97,89
1040119650;319,1;198,2;0;120,9
1040119651;61,85;38,42;0;23,43
1040119652;104,9;65,16;0;39,74
1040119653;121;75,16;0;45,84
1040119654;126,32;78,46;0;47,86
1040119655;174,86;108,61;0;66,25
1040119656;69,32;43,06;0;26,26
1040119657;115,96;72,03;0;43,93
1040119658;134,11;83,3;0;50,81
1040119659;139,4;86,59;0;52,81
1040119660;190,26;118,18;0;72,08
1040119665;73,2;45,47;0;27,73
1040119666;129,55;80,47;0;49,08
1040119667;87,92;54,61;0;33,31
1040119668;150,3;93,36;0;56,94
1040119669;78,72;48,9;0;29,82
1040119670;63,99;39,75;0;24,24
1040119671;118,56;73,64;0;44,92
1040119672;139,28;86,51;0;52,77
1040119673;0,35;0,22;0;0,13
1040119674;0,4;0,25;0;0,15
1040119676;88,79;55,15;0;33,64
1040119677;4;2,49;0;1,51
1040119678;4,94;3,07;0;1,87
1040119679;5,97;3,71;0;2,26
1040119680;6,61;4,11;0;2,5
1040119681;7,72;4,8;0;2,92
1040119682;8,08;5,02;0;3,06
1040119683;9,33;5,8;0;3,53
1040119684;9,53;5,92;0;3,61
1040119685;10,69;6,64;0;4,05
1040119686;11,38;7,07;0;4,31
1040119687;11,68;7,26;0;4,42
1040119689;128,51;79,82;0;48,69
1040119690;149,23;92,69;0;56,54
1040119691;173,31;107,65;0;65,66
1040119692;178,95;111,15;0;67,8
1040119693;181,88;112,97;0;68,91
1040119694;214,93;133,5;0;81,43
1040119695;235,88;146,51;0;89,37
1040119696;245,02;152,19;0;92,83
1040119697;255,55;158,73;0;96,82
1040119700;99,2;61,62;0;37,58
1040119701;117,91;73,24;0;44,67
1040119702;142,91;88,77;0;54,14
1040119703;165,89;103,04;0;62,85
1040119704;192,28;119,43;0;72,85
1040119705;193,44;120,15;0;73,29
1040119706;201,29;125,03;0;76,26
1040119707;237,15;147,3;0;89,85
1040119708;260,85;162,02;0;98,83
1040119709;271,12;168,4;0;102,72
1040119710;283,61;176,16;0;107,45
1040119712;111,37;69,18;0;42,19
1040119713;94,44;58,66;0;35,78
1040119714;79,38;49,31;0;30,07
1040119715;87,8;54,54;0;33,26
1040119716;69,03;42,88;0;26,15
1040119717;81,62;50,7;0;30,92
1040119718;96,14;59,72;0;36,42
1040119719;87,48;54,34;0;33,14
1040119720;156,04;96,92;0;59,12
1040119721;194,32;120,7;0;73,62
1040119722;181,22;112,56;0;68,66
1040119723;210,41;130,69;0;79,72
1040119724;67,41;48,15;0;19,26
1040119725;75,19;53,71;0;21,48
1040119738;82,8;51,43;0;31,37
1040119739;87,45;54,32;0;33,13
1040119740;104,71;65,04;0;39,67
1040119741;124,66;77,43;0;47,23
1040119742;147,54;91,64;0;55,9
1040119743;162,54;100,96;0;61,58
1040119744;169,09;105,03;0;64,06
1040119745;183,63;114,06;0;69,57
1040119746;209,7;130,25;0;79,45
1040119747;228,81;142,12;0;86,69
1040119748;234,52;145,67;0;88,85
1040119749;238,45;148,11;0;90,34
1040119750;71,54;44,44;0;27,1
1040119751;79,75;49,54;0;30,21
1040119752;92,75;57,61;0;35,14
1040119753;110,22;68,46;0;41,76
1040119754;120,17;74,64;0;45,53
1040119755;130,86;81,28;0;49,58
1040119756;144,03;89,46;0;54,57
1040119757;150,11;93,24;0;56,87
1040119758;163,68;101,67;0;62,01
1040119759;186,84;116,05;0;70,79
1040119760;203,53;126,42;0;77,11
1040119761;208,54;129,53;0;79,01
1040119762;215,24;133,69;0;81,55
1040119765;57,8;41,29;0;16,51
1040119766;61,05;43,61;0;17,44
1040119767;67,38;48,13;0;19,25
1040119768;102,83;73,45;0;29,38
1040119769;113,41;81,01;0;32,4
1040119770;121,87;87,05;0;34,82
1040119771;154,05;110,04;0;44,01
1040119772;188,27;134,48;0;53,79
1040119773;210,01;150,01;0;60
1040119774;41,27;29,48;0;11,79
1040119775;47,19;33,71;0;13,48
1040119776;57,91;41,37;0;16,54
1040119777;70,71;50,51;0;20,2
1040119778;77,71;55,51;0;22,2
1040119779;100,94;72,1;0;28,84
1040119780;116,32;83,09;0;33,23
1040119781;124,02;88,59;0;35,43
1040119782;58,86;36,56;0;22,3
1040119783;96,68;60,05;0;36,63
1040119784;120,34;74,75;0;45,59
1040119785;153,06;95,07;0;57,99
1040119786;21,17;14,6;0;6,57
1040119787;20,37;14,05;0;6,32
1040119788;19,67;14,05;0;5,62
1040119789;204,58;146,13;0;58,45
1040119798;48,34;34,53;0;13,81
1040119799;53,14;37,96;0;15,18
1040119800;71,96;51,4;0;20,56
1040119801;84,53;60,38;0;24,15
1040119802;89,18;63,7;0;25,48
1040119803;111,97;79,98;0;31,99
1040119804;127,61;91,15;0;36,46
1040119805;150,34;107,39;0;42,95
1040119806;80,43;49,96;0;30,47
1040119807;101,99;63,35;0;38,64
1040119808;137,92;85,67;0;52,25
1040119809;158,84;98,66;0;60,18
1040119810;170,38;105,83;0;64,55
1040119811;197,85;122,89;0;74,96
1040119812;217,65;135,19;0;82,46
1040119813;226,76;140,85;0;85,91
1040119814;253,78;157,63;0;96,15
1040119815;77,76;48,3;0;29,46
1040119816;93,55;58,11;0;35,44
1040119817;131,08;81,42;0;49,66
1040119818;152,43;94,68;0;57,75
1040119819;163,62;101,63;0;61,99
1040119820;186,03;115,55;0;70,48
1040119821;205,29;127,51;0;77,78
1040119822;213,75;132,77;0;80,98
1040119823;239,24;148,6;0;90,64
1040119914;83,51;59,65;0;23,86
1040119915;119,47;85,34;0;34,13
1040119916;50,97;36,41;0;14,56
1040119917;85,2;60,86;0;24,34
1040119920;49,87;30,98;0;18,89
1040119921;83,47;51,85;0;31,62
1040119922;104,45;64,88;0;39,57
1040119928;61,4;38,14;0;23,26
1040119929;97,03;60,27;0;36,76
1040119930;119,18;74,03;0;45,15
1040119931;150,96;93,77;0;57,19
1040119932;49,78;30,92;0;18,86
1040119933;83,39;51,8;0;31,59
1040119934;104,1;64,66;0;39,44
1040119935;91,3;56,71;0;34,59
1040119936;101,65;63,14;0;38,51
1040119937;116,7;72,49;0;44,21
1040119951;35,77;25,55;0;10,22
1040119952;43,56;31,12;0;12,44
1040119953;34,55;21,46;0;13,09
1040119954;37,33;23,19;0;14,14
1040119955;24,82;15,42;0;9,4
